Category Code,Category,Sub-Category,Variable Name
1,Dealer regulations,Licensing,dealer
1,Dealer regulations,Licensing,dealerh
1,Dealer regulations,Recordkeeping,recordsdealer
1,Dealer regulations,Recordkeeping,recordsdealerh
1,Dealer regulations,Recordkeeping,recordsall
1,Dealer regulations,Recordkeeping,recordsallh
1,Dealer regulations,Reporting,reportdealer
1,Dealer regulations,Reporting,reportdealerh
1,Dealer regulations,Reporting,reportall
1,Dealer regulations,Reporting,reportallh
1,Dealer regulations,Reporting,purge
1,Dealer regulations,Location,residential
1,Dealer regulations,Theft reporting,theft
1,Dealer regulations,Security,security
1,Dealer regulations,Inspections,inspection
1,Dealer regulations,Liability,liability
1,Dealer regulations,Junk guns,junkgun
2,Buyer regulations,Waiting period,waiting
2,Buyer regulations,Waiting period,waitingh
2,Buyer regulations,Permitting,permit
2,Buyer regulations,Permitting,permith
2,Buyer regulations,Permitting,permitlaw
2,Buyer regulations,Fingerprinting,fingerprint
2,Buyer regulations,Safety training,training
2,Buyer regulations,Registration,registration
2,Buyer regulations,Registration,registrationh
2,Buyer regulations,Registration,defactoreg
2,Buyer regulations,Registration,defactoregh
2,Buyer regulations,Age restrictions,age21handgunsale
2,Buyer regulations,Age restrictions,age18longgunsale
2,Buyer regulations,Age restrictions,age21longgunsaled
2,Buyer regulations,Age restrictions,age21longgunsale
2,Buyer regulations,Theft reporting,loststolen
2,Buyer regulations,Bulk purchase limit,onepermonth
3,Prohibitions for high-risk gun possession,Felony,felony
3,Prohibitions for high-risk gun possession,Violent Misdemeanor,violent
3,Prohibitions for high-risk gun possession,Violent Misdemeanor,violenth
3,Prohibitions for high-risk gun possession,Violent Misdemeanor,violentpartial
3,Prohibitions for high-risk gun possession,Mental Health,invcommitment
3,Prohibitions for high-risk gun possession,Mental Health,invoutpatient
3,Prohibitions for high-risk gun possession,Mental Health,danger
3,Prohibitions for high-risk gun possession,Drugs,drugmisdemeanor
3,Prohibitions for high-risk gun possession,Alcohol,alctreatment
3,Prohibitions for high-risk gun possession,Alcohol,alcoholism
3,Prohibitions for high-risk gun possession,Relinquishment of weapons,relinquishment
4,Background checks,Universal background checks,universal
4,Background checks,Universal background checks,universalh
4,Background checks,Gun shows,gunshow
4,Background checks,Gun shows,gunshowh
4,Background checks,Background checks through permits,universalpermit
4,Background checks,Background checks through permits,universalpermith
4,Background checks,Background check records,backgroundpurge
4,Background checks,Background checks time limit,threedaylimit
4,Background checks,Background checks - mental health records,mentalhealth
4,Background checks,Background checks - state records,statechecks
4,Background checks,Background checks - state records,statechecksh
5,Ammunition regulations,Licensing,ammlicense
5,Ammunition regulations,Recordkeeping,ammrecords
