"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Alabama"	"01"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	24	4887871	0.5	0.0%
	"Alabama"	"01"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	552	4887871	11.3	0.4%
	"Alabama"	"01"	"2018"	"2018"	"Assault"	"X85-Y09"	468	4887871	9.6	0.4%
	"Alabama"	"01"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	16	4887871	Unreliable	0.0%
	"Alabama"	"01"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	29	4903185	0.6	0.0%
	"Alabama"	"01"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	543	4903185	11.1	0.4%
	"Alabama"	"01"	"2019"	"2019"	"Assault"	"X85-Y09"	486	4903185	9.9	0.4%
	"Alabama"	"01"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	13	4903185	Unreliable	0.0%
	"Alabama"	"01"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	20	4921532	0.4	0.0%
	"Alabama"	"01"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	542	4921532	11.0	0.4%
	"Alabama"	"01"	"2020 "	"2020"	"Assault"	"X85-Y09"	564	4921532	11.5	0.5%
	"Alaska"	"02"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	107	737438	14.5	0.1%
	"Alaska"	"02"	"2018"	"2018"	"Assault"	"X85-Y09"	37	737438	5.0	0.0%
	"Alaska"	"02"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	117	731545	16.0	0.1%
	"Alaska"	"02"	"2019"	"2019"	"Assault"	"X85-Y09"	51	731545	7.0	0.0%
	"Alaska"	"02"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	133	731158	18.2	0.1%
	"Alaska"	"02"	"2020 "	"2020"	"Assault"	"X85-Y09"	27	731158	3.7	0.0%
	"Arizona"	"04"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	11	7171646	Unreliable	0.0%
	"Arizona"	"04"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	802	7171646	11.2	0.7%
	"Arizona"	"04"	"2018"	"2018"	"Assault"	"X85-Y09"	293	7171646	4.1	0.2%
	"Arizona"	"04"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	16	7171646	Unreliable	0.0%
	"Arizona"	"04"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	13	7278717	Unreliable	0.0%
	"Arizona"	"04"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	809	7278717	11.1	0.7%
	"Arizona"	"04"	"2019"	"2019"	"Assault"	"X85-Y09"	285	7278717	3.9	0.2%
	"Arizona"	"04"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	16	7278717	Unreliable	0.0%
	"Arizona"	"04"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	830	7421401	11.2	0.7%
	"Arizona"	"04"	"2020 "	"2020"	"Assault"	"X85-Y09"	382	7421401	5.1	0.3%
	"Arizona"	"04"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	17	7421401	Unreliable	0.0%
	"Arkansas"	"05"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	13	3013825	Unreliable	0.0%
	"Arkansas"	"05"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	345	3013825	11.4	0.3%
	"Arkansas"	"05"	"2018"	"2018"	"Assault"	"X85-Y09"	194	3013825	6.4	0.2%
